,anchor_id,answer_id,questions
0,1,2,"What is the recent history of the peace talks? <|endoftext|>
"
1,2,3,"What else was agreed upon by the representatives of the Russian Federation and Ingushetia? <|endoftext|>
"
2,2,4,"What is problematic about the limited cease-fire? <|endoftext|>
"
3,1,5,"Why are the peace talks set to resume? <|endoftext|>
"
4,2,6,"What is the stance of Russia's counterpart to the cease-fire in Ingushetia?
"
5,6,7,"How have previous offers been ignored by the Feisty Mascot? <|endoftext|>
"
6,1,8,"Where will the peace talks be held? <|endoftext|>
"
7,2,9,"What do the resumption of the talks in the town of Sleptsovsk do to the cease
"
8,9,10,"Why do some feel the cease-fire can hold? <|endoftext|>
"
9,1,11,"Why are the peace talks called resets? <|endoftext|>
"